"10-K","ALLEGHENY TECHNOLOGIES INC","1018963","2019-02-28","edgar/data/1018963/0001018963-19-000007.txt"
"10-K","ALLETE INC","66756","2019-02-14","edgar/data/66756/0000066756-19-000023.txt"
"10-K","ALLIANCE DATA SYSTEMS CORP","1101215","2019-02-26","edgar/data/1101215/0001101215-19-000048.txt"
"10-K","ALLIANCE RESOURCE PARTNERS LP","1086600","2019-02-22","edgar/data/1086600/0001558370-19-000892.txt"
"10-K","ALLIANCEBERNSTEIN HOLDING L.P.","825313","2019-02-13","edgar/data/825313/0000825313-19-000006.txt"
"10-K","ALLIANCEBERNSTEIN L.P.","1109448","2019-02-13","edgar/data/1109448/0001109448-19-000006.txt"
"10-K","ALLIANT ENERGY CORP","352541","2019-02-22","edgar/data/352541/0000352541-19-000013.txt"
"10-K","ALLIED MOTION TECHNOLOGIES INC","46129","2019-03-13","edgar/data/46129/0001104659-19-014558.txt"
"10-K","ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.","1124804","2019-02-22","edgar/data/1124804/0001564590-19-003905.txt"
"10-K","ALLSTATE CORP","899051","2019-02-15","edgar/data/899051/0000899051-19-000007.txt"
"10-K","ALLSTATE LIFE INSURANCE CO","352736","2019-02-22","edgar/data/352736/0000352736-19-000003.txt"
"10-K","ALNYLAM PHARMACEUTICALS, INC.","1178670","2019-02-14","edgar/data/1178670/0001564590-19-003022.txt"
"10-K","ALPHA PRO TECH LTD","884269","2019-03-06","edgar/data/884269/0001437749-19-004169.txt"
"10-K","ALPINE IMMUNE SCIENCES, INC.","1626199","2019-03-18","edgar/data/1626199/0001626199-19-000010.txt"
"10-K","ALR TECHNOLOGIES INC.","1087022","2019-03-29","edgar/data/1087022/0001721868-19-000156.txt"
"10-K","ALTITUDE INTERNATIONAL, INC","1664127","2019-03-29","edgar/data/1664127/0001185185-19-000455.txt"
"10-K","ALTRIA GROUP, INC.","764180","2019-02-26","edgar/data/764180/0000764180-19-000023.txt"
"10-K","AMAG PHARMACEUTICALS INC.","792977","2019-03-01","edgar/data/792977/0000792977-19-000036.txt"
"10-K","AMARIN CORP PLC\UK","897448","2019-02-27","edgar/data/897448/0001564590-19-004655.txt"
"10-K","AMAZON COM INC","1018724","2019-02-01","edgar/data/1018724/0001018724-19-000004.txt"
"10-K","AMBAC FINANCIAL GROUP INC","874501","2019-02-28","edgar/data/874501/0000874501-19-000023.txt"
"10-K","AMBARELLA INC","1280263","2019-03-29","edgar/data/1280263/0001564590-19-010114.txt"
"10-K","AMBASE CORP","20639","2019-03-27","edgar/data/20639/0001140361-19-005745.txt"
"10-K","AMC ENTERTAINMENT HOLDINGS, INC.","1411579","2019-03-01","edgar/data/1411579/0001411579-19-000013.txt"
"10-K","AMC Networks Inc.","1514991","2019-03-01","edgar/data/1514991/0001514991-19-000007.txt"
"10-K","AMEDISYS INC","896262","2019-02-28","edgar/data/896262/0000896262-19-000004.txt"
"10-K","AMEREN CORP","1002910","2019-02-26","edgar/data/1002910/0001002910-19-000094.txt"
"10-K","AMERI Holdings, Inc.","890821","2019-03-26","edgar/data/890821/0001140361-19-005573.txt"
"10-K","AMERICA FIRST MULTIFAMILY INVESTORS, L.P.","1059142","2019-02-28","edgar/data/1059142/0001564590-19-005208.txt"
"10-K","AMERICAN AIRLINES INC","4515","2019-02-25","edgar/data/4515/0000006201-19-000009.txt"
"10-K","AMERICAN AXLE & MANUFACTURING HOLDINGS INC","1062231","2019-02-15","edgar/data/1062231/0001062231-19-000013.txt"
"10-K","AMERICAN CAMPUS COMMUNITIES INC","1283630","2019-02-28","edgar/data/1283630/0001283630-19-000033.txt"
"10-K","AMERICAN CRYOSTEM Corp","1468679","2019-01-15","edgar/data/1468679/0001019056-19-000013.txt"
"10-K","AMERICAN EAGLE OUTFITTERS INC","919012","2019-03-14","edgar/data/919012/0001564590-19-007828.txt"
"10-K","AMERICAN ELECTRIC POWER CO INC","4904","2019-02-21","edgar/data/4904/0000004904-19-000009.txt"
"10-K","AMERICAN EQUITY INVESTMENT LIFE HOLDING CO","1039828","2019-02-22","edgar/data/1039828/0001039828-19-000009.txt"
"10-K","AMERICAN EXPRESS CO","4962","2019-02-13","edgar/data/4962/0000004962-19-000018.txt"
"10-K","AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST","1003509","2019-03-25","edgar/data/1003509/0001193125-19-085443.txt"
"10-K","AMERICAN EXPRESS CREDIT CORP","4969","2019-03-01","edgar/data/4969/0000004969-19-000006.txt"
"10-K","AMERICAN EXPRESS RECEIVABLES FINANCING CORP III LLC","1283434","2019-03-25","edgar/data/1283434/0001193125-19-085443.txt"
"10-K","AMERICAN FINANCIAL GROUP INC","1042046","2019-02-26","edgar/data/1042046/0001042046-19-000014.txt"
"10-K","AMERICAN INTERNATIONAL GROUP INC","5272","2019-02-15","edgar/data/5272/0000005272-19-000023.txt"
"10-K","AMERICAN NATIONAL BANKSHARES INC.","741516","2019-03-08","edgar/data/741516/0000741516-19-000006.txt"
"10-K","AMERICAN NATIONAL INSURANCE CO /TX/","904163","2019-02-28","edgar/data/904163/0000904163-19-000004.txt"
"10-K","AMERICAN PUBLIC EDUCATION INC","1201792","2019-03-12","edgar/data/1201792/0001201792-19-000003.txt"
"10-K","AMERICAN RIVER BANKSHARES","1108236","2019-02-22","edgar/data/1108236/0001019056-19-000165.txt"
"10-K","AMERICAN SHARED HOSPITAL SERVICES","744825","2019-03-29","edgar/data/744825/0001144204-19-016999.txt"
"10-K","AMERICAN STATES WATER CO","1056903","2019-02-25","edgar/data/1056903/0001056903-19-000004.txt"
"10-K","AMERICAN TOWER CORP /MA/","1053507","2019-02-27","edgar/data/1053507/0001053507-19-000012.txt"
"10-K","AMERICAN VANGUARD CORP","5981","2019-03-12","edgar/data/5981/0001564590-19-007329.txt"
"10-K","AMERICOLD REALTY TRUST","1455863","2019-02-26","edgar/data/1455863/0001628280-19-001983.txt"
"10-K","AMERINST INSURANCE GROUP LTD","1065201","2019-03-29","edgar/data/1065201/0001193125-19-092905.txt"
"10-K","AMERIPRISE CERTIFICATE CO","52428","2019-02-27","edgar/data/52428/0000820027-19-000011.txt"
"10-K","AMERIPRISE FINANCIAL INC","820027","2019-02-27","edgar/data/820027/0000820027-19-000010.txt"
"10-K","AMERISAFE INC","1018979","2019-02-28","edgar/data/1018979/0001564590-19-005456.txt"
"10-K","AMERISERV FINANCIAL INC /PA/","707605","2019-03-05","edgar/data/707605/0001144204-19-012248.txt"
"10-K","AMES NATIONAL CORP","1132651","2019-03-12","edgar/data/1132651/0001437749-19-004682.txt"
"10-K","AMETEK INC/","1037868","2019-02-21","edgar/data/1037868/0001193125-19-046947.txt"
"10-K","AMGEN INC","318154","2019-02-13","edgar/data/318154/0000318154-19-000008.txt"
"10-K","AMICUS THERAPEUTICS, INC.","1178879","2019-02-28","edgar/data/1178879/0001178879-19-000024.txt"
"10-K","AMKOR TECHNOLOGY, INC.","1047127","2019-02-22","edgar/data/1047127/0001047127-19-000007.txt"
"10-K","AMN HEALTHCARE SERVICES INC","1142750","2019-02-21","edgar/data/1142750/0001142750-19-000008.txt"
"10-K","AMPCO PITTSBURGH CORP","6176","2019-03-18","edgar/data/6176/0001564590-19-008247.txt"
"10-K","AMPHENOL CORP /DE/","820313","2019-02-13","edgar/data/820313/0001558370-19-000636.txt"
"10-K","ANADARKO PETROLEUM CORP","773910","2019-02-14","edgar/data/773910/0000773910-19-000009.txt"
"10-K","ANAPTYSBIO INC","1370053","2019-02-28","edgar/data/1370053/0001370053-19-000006.txt"
"10-K","ANDEAVOR LOGISTICS LP","1507615","2019-02-28","edgar/data/1507615/0001507615-19-000011.txt"
"10-K","ANDREA ELECTRONICS CORP","6494","2019-03-29","edgar/data/6494/0001206774-19-001153.txt"
"10-K","ANGI Homeservices Inc.","1705110","2019-03-01","edgar/data/1705110/0001705110-19-000002.txt"
"10-K","ANI PHARMACEUTICALS INC","1023024","2019-02-27","edgar/data/1023024/0001144204-19-010541.txt"
"10-K","ANIXTER INTERNATIONAL INC","52795","2019-02-21","edgar/data/52795/0000052795-19-000006.txt"
"10-K","ANNALY CAPITAL MANAGEMENT INC","1043219","2019-02-15","edgar/data/1043219/0001628280-19-001442.txt"
"10-K","ANSYS INC","1013462","2019-02-28","edgar/data/1013462/0001013462-19-000003.txt"
"10-K","ANTARES PHARMA, INC.","1016169","2019-03-12","edgar/data/1016169/0001564590-19-007398.txt"
"10-K","ANTERO RESOURCES Corp","1433270","2019-02-13","edgar/data/1433270/0001558370-19-000629.txt"
"10-K","ANWORTH MORTGAGE ASSET CORP","1047884","2019-02-28","edgar/data/1047884/0001558370-19-001355.txt"
"10-K","APACHE CORP","6769","2019-03-01","edgar/data/6769/0001733037-19-000004.txt"
"10-K","APACHE OFFSHORE INVESTMENT PARTNERSHIP","727538","2019-03-01","edgar/data/727538/0001673379-19-000009.txt"
"10-K","APARTMENT INVESTMENT & MANAGEMENT CO","922864","2019-02-20","edgar/data/922864/0000922864-19-000007.txt"
"10-K","APEX 2 INC.","1521466","2019-01-29","edgar/data/1521466/0001477932-19-000284.txt"
"10-K","APEX RESOURCES INC/NV","1653710","2019-01-11","edgar/data/1653710/0001477932-19-000088.txt"
"10-K","APPALACHIAN POWER CO","6879","2019-02-21","edgar/data/6879/0000004904-19-000009.txt"
"10-K","APPFOLIO INC","1433195","2019-02-28","edgar/data/1433195/0001433195-19-000016.txt"
"10-K","APPIAN CORP","1441683","2019-02-21","edgar/data/1441683/0001441683-19-000047.txt"
"10-K","APPLIANCE RECYCLING CENTERS OF AMERICA INC /MN","862861","2019-03-29","edgar/data/862861/0001683168-19-000853.txt"
"10-K","APPLIED OPTOELECTRONICS, INC.","1158114","2019-02-26","edgar/data/1158114/0001558370-19-001078.txt"
"10-K","APTARGROUP INC","896622","2019-02-21","edgar/data/896622/0001558370-19-000824.txt"
"10-K","APX Group Holdings, Inc.","1584423","2019-03-06","edgar/data/1584423/0001584423-19-000007.txt"
"10-K","AQUA AMERICA INC","78128","2019-02-26","edgar/data/78128/0000078128-19-000002.txt"
"10-K","AQUANTIA CORP","1316016","2019-03-06","edgar/data/1316016/0001564590-19-006495.txt"
"10-K","AQUINOX PHARMACEUTICALS, INC","1404644","2019-03-07","edgar/data/1404644/0001193125-19-066506.txt"
"10-K","ARATANA THERAPEUTICS, INC.","1509190","2019-03-13","edgar/data/1509190/0001509190-19-000018.txt"
"10-K","ARBOR REALTY TRUST INC","1253986","2019-02-15","edgar/data/1253986/0001047469-19-000508.txt"
"10-K","ARC DOCUMENT SOLUTIONS, INC.","1305168","2019-03-06","edgar/data/1305168/0001305168-19-000026.txt"
"10-K","ARC Group, Inc.","1452872","2019-03-29","edgar/data/1452872/0001493152-19-004242.txt"
"10-K","ARCA biopharma, Inc.","907654","2019-02-27","edgar/data/907654/0001564590-19-004882.txt"
"10-K","ARCBEST CORP /DE/","894405","2019-02-28","edgar/data/894405/0001558370-19-001332.txt"
"10-K","ARCH CAPITAL GROUP LTD.","947484","2019-02-28","edgar/data/947484/0000947484-19-000008.txt"
"10-K","ARCH COAL INC","1037676","2019-02-14","edgar/data/1037676/0001628280-19-001406.txt"
"10-K","ARCHER DANIELS MIDLAND CO","7084","2019-02-19","edgar/data/7084/0000007084-19-000012.txt"
"10-K","ARDELYX, INC.","1437402","2019-03-06","edgar/data/1437402/0001558370-19-001583.txt"
"10-K","ARENA PHARMACEUTICALS INC","1080709","2019-02-28","edgar/data/1080709/0001564590-19-005441.txt"
"10-K","ARES CAPITAL CORP","1287750","2019-02-12","edgar/data/1287750/0001287750-19-000004.txt"
"10-K","ARIZONA PUBLIC SERVICE CO","7286","2019-02-22","edgar/data/7286/0000764622-19-000019.txt"
"10-K","ARMSTRONG WORLD INDUSTRIES INC","7431","2019-02-25","edgar/data/7431/0001564590-19-003978.txt"
"10-K","AROTECH CORP","916529","2019-03-07","edgar/data/916529/0000916529-19-000025.txt"
"10-K","ARQULE INC","1019695","2019-03-07","edgar/data/1019695/0001144204-19-012700.txt"
